5.49, 38.0
10.2, 24.2
15.1, 16.6
20.2, 13.2
25.1, 14.3
30.2, 15.6
40.2, 16.6
50.2, 17.4
60.0, 17.4
70.2, 18.8
80.0, 16.2
99.9, 15.1
120, 15.0
160, 13.2
200, 13.1
240, 11.5
260, 10.4
280, 8.05
300, 6.35
320, 5.39
