11, 0
506, 19
1000, 39
1502, 58
2004, 77
2506, 97
3000, 117
3502, 136
4004, 155
4506, 173
5008, 171
5502, 170
6004, 168
6506, 166
7000, 165
7502, 163
7996, 162
