EC3_EEC_COL.TXT EcoCAR3 Emissions and Energy Consumption Cycle
Test Time, secs Target Speed, mph
0 	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	4.4
32	7.8
33	8.6
34	8.2
35	7.9
36	7
37	3.9
38	0
39	0
40	2.2
41	6.3
42	9.5
43	12.4
44	14.8
45	17.2
46	18.7
47	18.7
48	18.4
49	17.8
50	17.4
51	16.8
52	16.3
53	15.6
54	14.7
55	14
56	11.9
57	8
58	3.1
59	0
60	0
61	0
62	0
63	0
64	4.7
65	8.8
66	12.1
67	13.3
68	14.6
69	15.6
70	14.9
71	14.1
72	11.7
73	8.5
74	4.7
75	1.2
76	0
77	0
78	0
79	0
80	0
81	2.3
82	8.5
83	13.1
84	15.9
85	19
86	22.1
87	24.9
88	27.2
89	29.6
90	30.5
91	30.6
92	30.5
93	30.5
94	30.5
95	30.5
96	30.6
97	30.5
98	30.4
99	30.2
100	30.1
101	30.1
102	30.1
103	30
104	29.9
105	30
106	30
107	30
108	30.1
109	30.1
110	30.1
111	30
112	30.1
113	30.2
114	30.3
115	30.5
116	30.4
117	30.4
118	30.4
119	30.1
120	30.2
121	30.2
122	30.1
123	30.2
124	30.1
125	30
126	30
127	30
128	29.9
129	29.9
130	29.9
131	29.9
132	29.9
133	29.9
134	30
135	30
136	30
137	30.1
138	30
139	30
140	30
141	30
142	30
143	30.1
144	30
145	30
146	29.9
147	30
148	29.9
149	30
150	30
151	30
152	30.1
153	30
154	30
155	30
156	30
157	30
158	29.9
159	29.8
160	30
161	29.9
162	29.9
163	29.9
164	29.9
165	30
166	30
167	30
168	30.1
169	30.1
170	30
171	27.5
172	23.4
173	19.4
174	15.5
175	11.4
176	7.3
177	2.2
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	2.2
190	7.7
191	11.9
192	14.6
193	17.3
194	19.6
195	21.4
196	24.2
197	26.8
198	29.2
199	31.4
200	33.4
201	35.2
202	36.9
203	38.3
204	39.3
205	40.7
206	41.9
207	43.1
208	44.3
209	45.5
210	46.5
211	47.5
212	48.5
213	49.3
214	50.2
215	50.5
216	51.5
217	52.5
218	53.2
219	53.9
220	54.7
221	55
222	55.2
223	55.1
224	55
225	55.1
226	55.1
227	55
228	55
229	55.3
230	55.2
231	54.9
232	55
233	55.1
234	55.1
235	55.1
236	55.1
237	55.1
238	55.2
239	55.1
240	55
241	55.1
242	55.2
243	55.1
244	55.1
245	55.1
246	55.2
247	55.1
248	55.2
249	55.3
250	55.2
251	55.1
252	55.2
253	55.2
254	55.2
255	55.2
256	55.2
257	55.1
258	55
259	55
260	55
261	55.1
262	55
263	55.2
264	55.2
265	55.2
266	55.5
267	55.3
268	55
269	55.2
270	55.2
271	55.1
272	55.2
273	55.2
274	55.2
275	55.1
276	55.4
277	55.5
278	55.4
279	55.2
280	55.2
281	55.2
282	55.3
283	55.1
284	55.1
285	55.3
286	55.2
287	55.2
288	55.2
289	55.2
290	55.2
291	55.3
292	54
293	50.3
294	45.7
295	40.1
296	34.8
297	29
298	22.9
299	17
300	10.9
301	4.7
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	4.1
315	8.2
316	11.8
317	14.3
318	16.9
319	19.2
320	21.3
321	23.3
322	25.6
323	27.6
324	29.5
325	31.4
326	33
327	34.6
328	35.7
329	35.9
330	36
331	36
332	36
333	36.3
334	36.4
335	36.5
336	36.7
337	36.7
338	36.9
339	36.9
340	36.8
341	36.9
342	37
343	37
344	36.9
345	37
346	37.1
347	37.1
348	37
349	37.1
350	36.9
351	37
352	37
353	37.1
354	37
355	37
356	37.1
357	37.1
358	37.1
359	37
360	37.2
361	37
362	37
363	37.1
364	34.1
365	29
366	22.9
367	16.5
368	9.5
369	2.7
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0.7
382	6.1
383	10.8
384	14
385	17.3
386	20.1
387	22.5
388	24.7
389	27.3
390	29.3
391	31.3
392	33.1
393	34.9
