CUSTCYCLE.TXT	UDDS+HWY+UDDS+US06
Test Time, secs Target Speed, mph
0 0.0
192	24.7
193	27.4
194	30.6
195	33.7
196	36.1
197	37.2
198	39.3
199	40.3
200	41.7
201	43.2
202	45.1
203	46.6
204	47.1
205	47.2
206	47.1
207	47.2
208	47.3
209	47.2
210	47.0
211	47.0
212	47.0
213	47.0
214	47.2
215	47.6
216	48.3
217	49.1
218	49.5
219	49.7
220	50.0
221	50.5
222	51.0
223	51.6
224	52.2
225	53.1
226	54.1
227	54.4
228	54.5
229	54.6
230	54.6
231	54.7
232	54.9
233	55.1
234	55.2
235	55.4
236	55.7
237	56.1
238	56.4
239	56.4
240	56.6
241	56.7
242	56.5
243	56.5
244	56.6
245	56.5
246	56.5
247	56.5
248	56.4
249	56.0
250	55.6
251	55.1
252	54.7
253	54.3
254	53.9
255	53.6
256	53.6
257	53.8
258	53.8
259	53.9
260	53.9
261	53.5
262	53.2
263	52.9
264	52.6
265	52.2
266	52.1
267	51.8
268	51.6
269	51.6
270	51.4
271	51.6
272	51.7
273	52.0
274	52.5
275	52.8
276	53.3
277	54.0
278	54.9
279	55.3
280	55.5
281	55.6
282	55.5
283	55.2
284	55.1
285	54.6
286	54.0
287	52.7
288	51.8
289	51.4
290	51.1
291	50.6
292	49.8
293	49.7
294	49.9
295	49.6
296	49.2
297	49.2
298	49.2
299	49.0
300	48.7
301	48.4
302	48.0
303	47.4
304	46.3
305	45.2
306	44.3
307	42.6
308	41.0
309	40.1
310	38.6
311	36.9
312	35.8
313	34.1
314	32.9
315	31.5
316	30.5
317	30.4
318	30.0
319	29.3
320	27.0
321	23.8
322	21.0
323	19.9
324	18.6
325	18.0
326	16.6
327	14.9
328	12.0
329	9.5
330	6.6
331	3.3
332	1.6
333	0.9
334	0.0
335	0.0
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	1.3
348	4.8
349	7.6
350	11.1
351	14.8
352	18.0
353	20.6
354	22.6
355	23.4
356	24.6
357	26.4
358	28.1
359	29.8
360	30.5
361	31.2
362	31.9
363	32.3
364	33.2
365	34.7
366	35.1
367	35.0
368	34.8
369	34.8
370	34.7
371	35.3
372	36.2
373	36.2
374	36.1
375	36.0
376	35.9
377	35.8
378	35.8
379	35.8
380	35.8
381	35.8
382	35.9
383	35.4
384	34.9
385	32.5
386	30.8
387	29.1
388	26.2
389	23.4
390	20.5
391	17.5
392	14.6
393	11.4
394	8.1
395	4.8
396	0.6
397	0.0
398	0.0
399	0.0
400	0.0
401	0.0
402	0.0
403	2.9
404	5.1
405	7.7
406	11.6
407	15.4
408	19.2
409	22.8
410	25.2
411	25.6
412	27.4
413	29.1
414	29.9
415	30.1
416	29.9
417	29.8
418	29.6
419	29.2
420	27.2
421	24.0
422	21.1
423	18.1
424	14.9
425	11.7
426	8.5
427	5.3
428	2.1
429	0.2
430	0.0
431	0.0
432	0.0
433	0.0
434	0.0
435	0.0
436	0.0
437	0.0
438	0.0
439	0.0
440	0.0
441	0.0
442	0.0
443	0.0
444	0.0
445	0.0
446	0.0
447	0.3
448	4.9
449	6.3
450	9.2
451	13.1
452	16.8
453	20.3
454	23.8
455	26.6
456	27.9
457	29.0
458	31.5
459	33.0
460	33.5
461	34.6
462	35.2
463	35.5
464	35.9
465	36.0
466	36.0
467	36.0
468	36.0
469	35.9
470	35.8
471	35.7
472	35.5
473	35.5
474	35.4
475	35.3
476	35.2
477	35.2
478	35.1
479	35.1
480	35.1
481	35.1
482	35.0
483	35.3
484	35.5
485	35.4
486	35.3
487	35.2
488	35.2
489	35.1
490	35.1
491	34.9
492	34.0
493	32.1
494	29.9
495	27.6
496	25.2
497	22.3
498	19.3
499	16.1
500	12.7
501	9.3
502	6.0
503	2.7
504	0.9
505	0.0
506	0.0
507	0.0
508	0.0
509	0.0
510	0.0
511	1.2
512	3.7
513	4.4
514	5.6
