"Time (seconds)","Speed (mph)"
3195,43.34772066
3196,43.17801642
3197,42.8552331
3198,42.39758161
3199,41.86012358
3200,41.2978125
3201,40.73733945
3202,40.18212821
3203,39.63647112
3204,39.11376418
3205,38.62634382
3206,38.17566604
3207,37.70864421
3208,37.03020566
3209,35.81074475
3210,33.77891055
3211,30.91889242
3212,27.46932431
3213,23.7893321
3214,20.25088263
3215,17.1831779
3216,14.82675119
3217,13.28848214
3218,12.53560698
3219,12.47399693
3220,13.05618397
3221,14.27599807
3222,16.04173235
3223,18.10487793
3224,20.14008545
3225,21.89267601
3226,23.28693359
3227,24.43065325
3228,25.51764625
3229,26.7070788
3230,28.04249419
3231,29.4356958
3232,30.72420178
3233,31.76216262
3234,32.50347261
3235,33.04874407
3236,33.59456334
3237,34.29439511
3238,35.16204625
3239,36.10281855
3240,37.01425444
3241,37.84166353
3242,38.56000174
3243,39.16573719
3244,39.69723063
3245,40.19450788
3246,40.61386347
3247,40.81816232
3248,40.66378941
3249,40.10808803
3250,39.26625221
3251,38.3705585
3252,37.65615583
3253,37.26621233
3254,37.22346191
3255,37.44984235
3256,37.82015858
3257,38.22729667
3258,38.61503453
3259,38.96887335
3260,39.29573998
3261,39.61491211
3262,39.94810012
3263,40.29716006
3264,40.64181955
3265,40.96886277
3266,41.28590134
3267,41.60930815
3268,41.95128988
3269,42.30165806
3270,42.62095994
3271,42.87348726
3272,43.06280436
3273,43.22598179
3274,43.39401739
3275,43.54309966
3276,43.5882251
3277,43.44667515
3278,43.10060291
3279,42.59836298
3280,42.01743373
3281,41.42385452
3282,40.85433187
3283,40.32177525
3284,39.81909563
3285,39.32739374
3286,38.83493862
3287,38.34338088
3288,37.85869234
3289,37.38121896
3290,36.90416725
3291,36.42524507
3292,35.95354527
3293,35.49666144
3294,35.04823614
3295,34.59426793
3296,34.12745152
3297,33.65395694
3298,33.18833345
3299,32.74300398
3300,32.32249512
3301,31.90970238
3302,31.43130278
3303,30.75710972
3304,29.78704427
3305,28.55978434
3306,27.27425165
3307,26.18932373
3308,25.46501011
3309,25.08571638
3310,24.90272426
3311,24.65230166
3312,23.94115699
3313,22.39413028
3314,19.93495047
3315,16.89059954
3316,13.77361037
3317,10.94731469
3318,8.484606585
3319,6.30290446
3320,4.360456194
3321,2.704113537
3322,1.416187802
3323,0
3324,0
3325,0
3326,0
3327,0
3328,0
3329,0
3330,0
3331,0
3332,0
3333,0
3334,0
3335,1.587647182
3336,2.367768438
3337,2.866022368
3338,3.191087007
3339,3.591330683
3340,4.134104585
3341,4.667756813
3342,5.003806385
3343,5.033513997
3344,4.728750581
3345,4.124835147
3346,3.286542039
3347,2.29554827
3348,1.308663039
3349,0
3350,0
3351,0
3352,0
3353,0
3354,0
3355,0
3356,0
3357,0
3358,0
3359,0
3360,0
3361,0
3362,0
3363,0
3364,0
3365,0
3366,0
3367,0
3368,0
3369,0
3370,0
3371,0
3372,0
3373,0
3374,0
3375,0
3376,0
3377,0
3378,0
3379,0
3380,0
3381,0
3382,0
3383,0
3384,0
3385,0
3386,0
3387,0
3388,0
3389,0
3390,0
3391,0
3392,0
3393,0
3394,0
3395,0
3396,0
3397,0
3398,0
3399,0
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3406,0
3407,0
3408,0
3409,0
3410,0
3411,0
3412,0
3413,0
3414,0
3415,0
3416,0
3417,0
3418,0
3419,0
3420,0
3421,0
3422,0
3423,0
3424,0
3425,0
3426,0
3427,0
3428,0
3429,0
3430,0
3431,0
3432,0
3433,0
3434,0
3435,0
3436,0
3437,0
3438,0
3439,0
3440,0
3441,0
3442,0
3443,0
3444,0
3445,2.458109422
3446,4.113731283
3447,5.679848284
3448,6.976719099
3449,7.981098052
3450,8.710204962
3451,9.211774554
3452,9.58995466
3453,9.924072498
3454,10.14008789
3455,10.04622582
3456,9.506673875
3457,8.555893322
3458,7.392946429
3459,6.291786179
3460,5.483225911
3461,5.078167318
3462,5.039536249
3463,5.196367071
3464,5.334677037
3465,5.331264067
3466,5.225937733
3467,5.184131557
3468,5.378306827
3469,5.871583659
3470,6.605555943
3471,7.47958252
3472,8.415381324
3473,9.391072591
3474,10.43585217
3475,11.52199823
3476,12.49279169
3477,13.19689058
3478,13.64722959
3479,13.99201521
3480,14.37161528
3481,14.80164586
3482,15.18823045
3483,15.47375942
3484,15.7133989
3485,15.98142334
3486,16.27033285
3487,16.51279064
3488,16.66302979
3489,16.74454822
3490,16.85228562
3491,17.10955578
3492,17.57732724
3493,18.18821998
3494,18.77570847
3495,19.14707345
3496,19.13025007
3497,18.61376
3498,17.58901495
3499,16.13578904
3500,14.33923712
3501,12.24381789
3502,9.912572196
3503,7.492906436
3504,5.192294573
3505,3.205016392
3506,1.670870303
3507,0
3508,0
3509,0
3510,0
3511,0
3512,0
3513,0
3514,0
3515,0
3516,0
3517,0
3518,0
3519,0
3520,0
3521,0
3522,0
3523,0
3524,0
3525,0
3526,0
3527,0
3528,0
3529,0
3530,0
3531,0
3532,0
3533,0
3534,0
3535,0
3536,0
3537,0
3538,0
3539,0
3540,0
3541,0
3542,0
3543,0
3544,0
3545,0
3546,0
3547,0
3548,0
3549,0
3550,0
3551,0
3552,0
3553,0
3554,0
3555,0
3556,0
3557,0
3558,0
3559,2.998486677
3560,5.058806734
3561,7.061600051
3562,8.839393252
3563,10.46650042
3564,12.0451809
3565,13.6842749
3566,15.50393194
3567,17.46619489
3568,19.29416271
3569,20.70459136
3570,21.7035283
3571,22.64242292
3572,23.9342842
3573,25.6225293
3574,27.31090053
3575,28.60191848
3576,29.5139202
3577,30.44293631
3578,31.80338135
3579,33.69865351
3580,35.8576938
3581,37.85762195
3582,39.42185047
3583,40.55235433
3584,41.4564309
3585,42.36592785
3586,43.36236723
3587,44.34354736
3588,45.15689732
3589,45.73220075
3590,46.09419538
3591,46.30771682
3592,46.43584554
3593,46.54447673
3594,46.72491002
3595,47.07780099
3596,47.66848261
3597,48.48409947
3598,49.40681222
3599,50.25733364
3600,50.90253267
3601,51.32484712
3602,51.60565488
3603,51.83836751
3604,52.02461403
3605,52.0619801
3606,51.84727295
3607,51.38372175
3608,50.80069499
3609,50.27496431
3610,49.91052979
3611,49.68808489
3612,49.51614258
3613,49.30432943
3614,49.02060965
3615,48.71912586
3616,48.4949871
3617,48.41087379
3618,48.4684654
3619,48.60313535
3620,48.69708391
3621,48.6407537
3622,48.40676525
3623,48.07429443
3624,47.78676886
3625,47.67245419
3626,47.77308454
3627,48.02402251
3628,48.306762
3629,48.52257557
3630,48.61912981
3631,48.58089879
3632,48.41509766
3633,48.13414934
3634,47.75014881
3635,47.28978713
3636,46.80394171
3637,46.34607759
3638,45.91330799
3639,45.39057582
3640,44.57613386
3641,43.31681652
3642,41.66828009
3643,39.92089007
3644,38.42574626
3645,37.37825288
3646,36.76982166
3647,36.50173956
3648,36.49348284
3649,36.70846389
3650,37.13331194
3651,37.72961577
3652,38.38128395
3653,38.90203392
3654,39.12164969
3655,39.0149142
3656,38.79572731
3657,38.83606666
3658,39.41061326
3659,40.50725412
3660,41.86024972
3661,43.13493083
3662,44.13396868
3663,44.89546456
3664,45.61235758
3665,46.45691802
3666,47.46318545
3667,48.53917911
3668,49.56243571
3669,50.45967913
3670,51.2174485
3671,51.85350784
3672,52.39411214
3673,52.86701567
3674,53.30525612
3675,53.74026379
3676,54.17399926
3677,54.56997582
3678,54.88216704
3679,55.09006627
3680,55.21645066
3681,55.30763497
3682,55.38709194
3683,55.46201869
3684,55.59055106
3685,55.87482945
3686,56.33461809
3687,56.83354597
3688,57.17104074
3689,57.22465716
3690,57.0205385
3691,56.69744164
3692,56.37717029
3693,56.0805735
3694,55.78373884
3695,55.49049735
3696,55.23638788
3697,55.07254371
3698,55.03166016
3699,55.08418457
3700,55.15829683
3701,55.22244768
3702,55.32329787
3703,55.52453334
3704,55.82563511
3705,56.1488437
3706,56.39669666
3707,56.53043318
3708,56.59131882
3709,56.63686593
3710,56.67841622
3711,56.68896868
3712,56.65038807
3713,56.59659505
3714,56.61680257
3715,56.79368234
3716,57.12563418
3717,57.51180432
3718,57.80765509
3719,57.89736537
3720,57.73265985
3721,57.33024658
3722,56.75586577
3723,56.10929002
3724,55.49410133
3725,54.97228818
3726,54.5466004
3727,54.20202021
3728,53.95608457
3729,53.83665946
3730,53.81289841
3731,53.78724528
3732,53.66650832
3733,53.43372361
3734,53.15779564
3735,52.92566325
3736,52.76262998
3737,52.64308594
3738,52.56345959
3739,52.55220075
3740,52.60957252
3741,52.68603458
3742,52.72722447
3743,52.70697731
3744,52.62161702
3745,52.4817177
3746,52.30237642
3747,52.09394741
3748,51.84544934
3749,51.45790248
3750,50.70929083
3751,49.3818042
3752,47.45456473
3753,45.15725772
3754,42.82485154
3755,40.6637786
3756,38.65270694
3757,36.6852038
3758,34.77448498
3759,33.08090239
3760,31.73792585
3761,30.6926273
3762,29.76993257
3763,28.8671174
3764,28.03414737
3765,27.38542364
3766,26.9678268
3767,26.72416888
3768,26.56814174
3769,26.45078172
3770,26.36707926
3771,26.34692941
3772,26.41683582
3773,26.54181827
3774,26.62847598
3775,26.58896194
3776,26.39795096
3777,26.10623396
3778,25.79839274
3779,25.53388939
3780,25.34864479
3781,25.30647821
3782,25.51300432
3783,26.07203578
3784,27.01818883
3785,28.23917422
3786,29.46428258
3787,30.39823614
3788,30.89511696
3789,31.01263195
3790,30.92857271
3791,30.81156587
3792,30.76094076
3793,30.82522135
3794,31.00700614
3795,31.23932234
3796,31.39479806
3797,31.34936268
3798,31.06182989
3799,30.5976516
3800,30.06956752
3801,29.55450102
3802,29.06300456
3803,28.57363084
3804,28.07850516
3805,27.59167585
3806,27.11356817
3807,26.56099505
3808,25.710625
3809,24.26208426
3810,22.04415132
3811,19.19178444
3812,16.11051072
3813,13.24422886
3814,10.83340007
3815,8.865561756
3816,7.229823056
3817,5.881411714
3818,4.864919782
3819,4.219169341
3820,3.897114025
3821,3.791160598
3822,3.795647554
3823,3.818875209
3824,3.76578497
3825,3.531284761
3826,3.024219099
3827,2.238450405
3828,1.330877976
3829,0
3830,0
3831,0
3832,0
3833,0
3834,0
3835,0
3836,0
3837,0
3838,0
3839,0
3840,0
3841,0
3842,0
3843,0
3844,0
3845,0
3846,0
3847,0
3848,0
3849,0
3850,0
3851,0
3852,0
3853,0
3854,0
3855,0
3856,0
3857,0
3858,0
3859,0
3860,0
3861,0
3862,0
3863,0
3864,2.324066569
3865,3.859495675
3866,5.269881069
3867,6.416310919
3868,7.327627883
3869,8.065481655
3870,8.691777809
3871,9.265931571
3872,9.804286993
3873,10.23157494
3874,10.42586554
3875,10.33204311
3876,9.99711077
3877,9.503639323
3878,8.885102539
3879,8.090190546
3880,7.040405041
3881,5.727806455
3882,4.237387463
3883,2.724346284
3884,1.460815895
3885,0
3886,0
3887,0
3888,2.114783412
3889,3.259566243
3890,4.05264381
3891,4.426711775
3892,4.468972052
3893,4.225260068
3894,3.720472121
3895,3.01735712
3896,2.18387893
3897,1.312112049
3898,0
3899,0
3900,0
3901,0
3902,0
3903,0
3904,0
3905,0
3906,0
3907,0
3908,1.557726935
3909,2.479372907
3910,3.203095471
3911,3.66853876
3912,3.97829369
3913,4.243287179
3914,4.537919806
3915,4.933651297
3916,5.462384091
3917,6.046639811
3918,6.539707613
3919,6.836736886
3920,6.922562081
3921,6.811159435
3922,6.458286482
3923,5.784839448
3924,4.790793108
3925,3.593936361
3926,2.367404436
3927,1.292607306
3928,0
3929,0
3930,0
3931,0
3932,0
3933,0
3934,0
3935,0
3936,0
3937,0
3938,0
3939,0
3940,0
3941,0
3942,0
3943,0
3944,0
3945,0
3946,0
3947,0
3948,0
3949,0
3950,0
3951,0
3952,0
3953,0
3954,0
3955,0
3956,0
3957,0
3958,0
3959,0
3960,0
3961,0
3962,0
3963,0
3964,0
3965,0
3966,0
3967,0
3968,0
3969,0
3970,0
3971,0
3972,0
3973,0
3974,0
3975,0
3976,0
3977,0
3978,0
3979,0
3980,0
3981,0
3982,0
3983,0
3984,0
3985,0
3986,0
3987,0
3988,0
3989,0
3990,0
3991,0
3992,0
3993,0
3994,0
3995,0
3996,0
3997,0
3998,0
3999,0
4000,0
4001,0
4002,0
4003,0
4004,0
4005,0
4006,0
4007,0
4008,0
4009,0
4010,0
4011,0
4012,0
4013,0
4014,0
4015,0
4016,0
4017,0
4018,0
4019,0
4020,0
4021,0
4022,0
4023,0
4024,0
4025,0
4026,0
4027,0
4028,0
4029,0
4030,0
4031,0
4032,0
4033,0
4034,0
4035,1.197047759
4036,2.000661563
4037,2.762083566
4038,3.414465332
4039,3.942345785
4040,4.281889416
4041,4.337170875
4042,4.076296735
4043,3.587168085
4044,3.033436279
4045,2.560093064
4046,2.224203869
4047,1.977152797
4048,1.702014102
4049,1.303974261
4050,0.80846296
4051,0
4052,0
4053,0
4054,0
4055,0
4056,0
4057,0
4058,0
4059,0
4060,0
4061,0
